Geographic Area Name;Estimate!!HOUSEHOLDS BY TYPE!!Total households;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families);Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years;"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family";"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years";"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family";"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years";Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size;Estimate!!RELATIONSHIP!!Population in households;Estimate!!RELATIONSHIP!!Population in households!!Householder;Estimate!!RELATIONSHIP!!Population in households!!Spouse;Estimate!!RELATIONSHIP!!Population in households!!Child;Estimate!!RELATIONSHIP!!Population in households!!Other relatives;Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives;Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner;Estimate!!MARITAL STATUS!!Males 15 years and over;Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married;"Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated";Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated;Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed;Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced;Estimate!!MARITAL STATUS!!Females 15 years and over;Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married;"Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated";Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated;Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed;Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced;Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school;"Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool";Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten;Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8);Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12);Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade;"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma";Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency);"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree";Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher;Estimate!!VETERAN STATUS!!Civilian population 18 years and over;Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability
"Cape Girardeau County, Missouri";28675;18641;7713;13835;4844;1071;500;3735;2369;10034;7580;3262;7953;8359;2.63;3.20;75336;28675;13944;24280;2765;5672;2631;30834;13384;13794;101;674;2881;33386;10198;15149;444;2984;4611;21742;656;838;8225;2908;9115;50016;2343;2896;16115;10032;2949;9634;6047;44777;15681;61704;4446;77574;10382;16948;1080;48279;5190;12347;4112
"Jackson County, Missouri";288752;170337;74475;114872;42881;12262;6065;43203;25529;118415;95264;28926;82346;75056;2.38;3.07;688416;288752;115070;198148;38594;47852;20057;268008;106241;121763;4692;6631;28681;293866;95459;125433;6437;23535;43002;169419;13628;8933;73884;34006;38968;477908;11873;27073;132614;117760;36919;96285;55384;438962;151669;535009;40405;693651;89559;164680;6449;427819;48589;101152;34521
"Cascade County, Montana";35558;22216;9028;17152;5692;1402;1203;3662;2133;13342;11030;4494;9707;10695;2.23;2.77;79262;35558;17071;19389;2788;4456;2948;33353;9415;18356;151;1071;4360;33090;7910;17184;478;3238;4280;16318;1142;1036;7442;3708;2990;56638;866;3556;17762;14661;6048;8854;4891;52216;13745;61520;10550;78377;10114;17834;857;45940;4425;14603;4832
"Clark County, Nevada";808605;507341;208475;338811;125897;59978;26786;108552;55792;301264;235622;74898;242022;225178;2.73;3.44;2209456;808605;338882;652005;245253;164711;61945;892298;350662;392450;14444;23110;111632;907264;287855;393262;18805;67612;139730;521055;27450;24790;232782;120843;115190;1530208;88127;128138;429391;387783;120382;246720;129667;1313943;376387;1707362;145649;2207851;269515;517020;22602;1364830;136022;326001;110891
"Albany County, New York";126578;72332;30691;49593;17723;5439;2819;17300;10149;54246;44408;15501;33032;36902;2.28;3.00;288838;126578;49547;82254;13199;17260;8798;125520;55105;55328;1625;2829;10633;135615;52575;53534;2642;11730;15134;81475;4007;2817;24227;15900;34524;205482;5277;9352;48459;34826;21273;41094;45201;190853;86295;250284;14887;303054;31327;56175;1928;197219;16405;49660;12994
"Broome County, New York";75539;44761;16197;31773;9356;3409;1408;9579;5433;30778;25395;10636;17755;25555;2.41;3.09;181894;75539;32054;52085;9497;12719;5760;77886;32773;34789;1538;1655;7131;83308;28520;34216;2499;8897;9176;48697;2132;3000;15606;8776;19183;129231;3949;8918;42567;20703;16752;20275;16067;116364;36342;154914;9760;188927;30570;36581;1878;116883;15942;35463;12750
"Clinton County, New York";31392;20558;8194;16101;5810;1751;725;2706;1659;10834;8585;3601;8842;9812;2.31;2.76;72610;31392;16173;17711;2329;5005;3216;36389;14303;16888;721;1747;2730;32728;8626;17288;555;3255;3004;16910;525;865;6555;3400;5565;55312;1907;3341;19676;9011;6493;7004;7880;50064;14884;66306;6146;75657;12353;14146;994;48433;6631;13078;4728
"Dutchess County, New York";108071;71635;27916;54401;19929;4784;1876;12450;6111;36436;30106;13753;31453;37431;2.56;3.15;276213;108071;54368;82711;17244;13819;7301;123475;45455;61258;2716;3654;10392;125918;39897;57925;2369;11174;14553;70455;3658;2833;23496;16176;24292;206259;6671;13083;53445;34357;22061;40075;36567;186505;76642;238371;14991;285778;38896;54906;3304;181084;18250;49788;17342
"Erie County, New York";390341;230402;89392;164658;57925;17149;6556;48595;24911;159939;132519;53168;99107;120400;2.28;2.95;891342;390341;164019;248632;37782;50568;27662;367271;142527;177256;6898;9823;30767;399770;135584;168583;7453;42329;45821;215193;12843;8142;83685;44333;66190;649017;19171;35783;173639;113912;75073;129757;101682;594063;231439;733146;50769;908727;122451;185664;9983;562836;61717;160227;50751
"Livingston County, New York";23746;15133;5492;11989;3418;838;501;2306;1573;8613;6574;2653;5899;7658;2.39;2.88;56712;23746;12276;14514;1725;4451;1417;27306;9992;13376;605;692;2641;26930;8399;12599;713;2333;2886;17416;809;888;4645;2879;8195;42911;692;3127;13973;8472;4940;5913;5794;39092;11707;51948;2877;60382;7757;11272;158;38302;4480;10808;3119
"New York County, New York";752258;319832;123181;214547;81066;23383;8364;81902;33751;432426;345015;109291;137105;205603;2.08;3.02;1568288;752258;214029;318573;112048;171380;42583;669701;342381;263762;10375;12982;40201;759556;365535;244985;20148;52013;76875;319698;22826;8885;103564;47431;136992;1249838;89293;64478;163301;118867;47038;401569;365292;1096067;766861;1395285;34609;1617657;161707;232632;6542;1122070;72089;262955;83076
"Saratoga County, New York";94156;60841;22242;49122;16319;3251;1695;8468;4228;33315;25969;11024;24218;28912;2.40;2.95;226369;94156;48950;60814;8858;13591;7853;94245;31583;51848;460;2469;7885;98889;25882;50112;1454;8671;12770;50251;2917;1903;20232;12326;12873;163277;2918;6487;38362;25828;20476;38419;30787;153872;69206;182352;15294;227262;26188;46153;2158;140810;11783;40299;12247
"Suffolk County, New York";496784;360416;141131;279830;109844;24040;7864;56546;23423;136368;113170;53877;160192;172753;2.93;3.45;1454489;496784;278754;470454;134384;74113;30216;600332;221697;313840;6327;16001;42467;627185;189245;304532;11234;55309;66865;361066;22884;18183;134487;81133;104379;1034154;45385;48962;283724;174262;100205;206555;175061;939807;381616;1167063;55229;1470276;138418;312509;9796;913472;63749;244295;64873
"Alamance County, North Carolina";64700;40499;15982;29319;9784;3383;2031;7797;4167;24201;20243;8875;17942;20858;2.50;3.18;161828;64700;29295;47127;11746;8960;4711;63764;22610;32585;982;2008;5579;72392;23134;30276;1755;7560;9667;40473;2101;1829;17167;9200;10176;111388;5643;7669;31861;25827;11809;20870;7709;98076;28579;129403;8643;165380;21303;36930;1630;100888;8471;27562;11202
"Burke County, North Carolina";36157;23863;8786;18417;6444;1188;621;4258;1721;12294;10705;4290;10901;12198;2.42;2.98;87673;36157;18336;21823;7170;4187;2108;37455;10867;20331;1120;1589;3548;38773;10035;19980;594;4182;3982;17621;474;1008;8391;4144;3604;66931;4148;8808;20916;14842;6987;7311;3919;53975;11230;73170;6278;88320;17625;17058;1513;53682;7957;17580;8155
"Catawba County, North Carolina";62861;43671;17750;31113;11218;4505;1840;8053;4692;19190;15708;7161;20668;20385;2.48;2.95;156163;62861;31125;45987;7866;8324;4457;62397;20836;31039;1587;2254;6681;67260;16587;33673;1796;6567;8637;37871;2491;1340;16658;8597;8785;111083;4860;9326;34831;21174;13958;19163;7771;96897;26934;123538;9901;157110;21664;35017;1391;94522;10671;27571;9602
"Cleveland County, North Carolina";34574;23916;8349;17366;4791;1297;464;5253;3094;10658;8781;3984;9731;12287;2.78;3.35;96048;34574;17452;31083;7584;5355;1639;37979;13709;17780;907;1999;3584;42113;11257;18907;1275;4460;6214;22366;666;1351;9851;5335;5163;67518;3102;7716;22353;14705;7233;7915;4494;56700;12409;75939;6288;97402;13133;21641;1176;57830;7319;17931;4638
"Johnston County, North Carolina";70001;51274;24995;38878;18547;3541;1340;8855;5108;18727;16016;7509;27177;18284;2.87;3.39;200999;70001;38660;65436;18414;8488;3741;75823;22520;42683;1270;2401;6949;83942;21078;40536;3321;8606;10401;51096;1826;3298;22178;13095;10699;135290;6778;9942;39430;30600;18672;20882;8986;118570;29868;150763;12131;201258;27651;51740;2799;122632;13576;26886;11276
"Moore County, North Carolina";40756;26079;9283;20952;7202;893;336;4234;1745;14677;12554;5748;10190;15923;2.39;3.01;97354;40756;20874;26582;5063;4079;1419;40231;11279;23472;481;1422;3577;42676;7552;21640;942;6012;6530;20370;1254;1459;7707;5939;4011;71231;1856;3282;14911;14574;8393;16576;11639;66093;28215;75266;9145;95064;17212;20826;1959;51602;7500;22636;7753
"Orange County, North Carolina";53959;32935;15179;26834;11435;2115;967;3986;2777;21024;15050;5218;15961;14784;2.49;3.06;134090;53959;26697;36902;4268;12264;3267;55625;21516;28398;785;854;4072;66411;26274;28820;782;3600;6935;52116;2233;1756;13456;7073;27598;90217;2693;3522;10655;10794;6604;24032;31917;84002;55949;117164;4513;145420;11905;28857;401;95985;6189;20578;5315
"Union County, North Carolina";77696;61323;31540;50743;25294;3365;1851;7215;4395;16373;13909;5562;34229;20024;3.01;3.41;233627;77696;50700;81416;15844;7971;3275;90354;26913;54245;1593;1814;5789;94910;24199;52651;2560;7203;8297;68141;3853;2915;29927;18158;13288;150316;6471;8264;35003;28906;11762;40377;19533;135581;59910;172267;12389;234893;20645;63613;2240;142095;9111;29185;9294
"Grand Forks County, North Dakota";30916;17304;7273;12913;4945;910;321;3481;2007;13612;9094;2511;8113;6360;2.15;2.75;66432;30916;12787;15802;1687;5240;2475;29926;13478;13447;118;482;2401;27941;9072;13770;544;2000;2555;21617;514;880;6588;2410;11225;41931;1056;1356;9568;10737;5464;9755;3995;39519;13750;54634;4338;68852;5581;14918;678;45505;2884;8429;2019
"Athens County, Ohio";22533;11577;4628;8381;2833;1312;843;1884;952;10956;7888;2990;5148;6077;2.49;3.13;56115;22533;8373;13169;3074;8966;1877;29083;16484;9120;0;1145;2334;28812;14328;9246;379;2264;2595;26183;492;216;4280;2130;19065;37179;556;2485;14342;6642;2408;5043;5703;34138;10746;56075;2963;65024;11171;9532;458;47084;7485;8408;3228
"Butler County, Ohio";143040;94760;38935;71729;27078;6727;3119;16304;8738;48280;39161;14443;46219;39389;2.59;3.16;371184;143040;71676;108149;24595;23724;10210;149851;52818;74018;2676;4032;16307;158452;45477;75611;2956;14239;20169;105415;5232;5102;38523;23192;33366;245061;6695;15756;81186;49053;20848;45880;25643;222610;71523;292234;19520;378973;51139;89912;5479;234622;26764;54439;18896
"Clark County, Ohio";55327;34548;13783;23589;7517;3103;1663;7856;4603;20779;17447;8162;16197;18841;2.38;2.91;131551;55327;23461;34187;8435;10141;5034;52324;18123;25598;726;1374;6503;57444;16241;24327;1427;6568;8881;31526;2236;1307;14139;7531;6313;92334;3732;7330;31732;22575;9283;11920;5762;81272;17682;104346;11318;132970;25706;30065;1957;77915;13683;24990;10066
"Mahoning County, Ohio";97365;59412;21567;41213;12951;5279;2182;12920;6434;37953;33034;15360;24301;33846;2.29;2.90;222896;97365;41255;60025;11722;12529;6268;94051;33640;43803;1693;3647;11268;98872;31319;43066;1053;11131;12303;50779;3491;2259;20314;12450;12265;162405;3663;10752;59269;35215;11995;27253;14258;147990;41511;183477;15941;225111;33300;46088;2298;133219;16077;45804;14925
"Miami County, Ohio";41148;26294;10411;21932;7887;1338;960;3024;1564;14854;13734;5568;11601;13241;2.56;3.31;105271;41148;21898;33324;5531;3370;1761;41798;13485;22075;622;1347;4269;44222;9314;24280;443;3522;6663;26023;2312;1217;10747;5820;5927;74182;1613;4806;26205;16660;7029;12076;5793;67763;17869;81258;7330;105192;13356;24747;525;60472;6239;19973;6592
"Scioto County, Ohio";28719;19352;7103;14012;4355;1548;776;3792;1972;9367;8235;3771;8448;9408;2.50;3.05;71934;28719;13765;21443;4477;3530;1976;30825;10734;15034;599;1419;3039;31322;8506;14517;950;3514;3835;16282;475;842;7788;4423;2754;52325;1699;5625;23493;9620;3954;4771;3163;45001;7934;58999;3948;72766;17163;16420;1195;43522;10304;12824;5664
"Cleveland County, Oklahoma";110775;74314;35527;53443;22945;7713;4251;13158;8331;36461;26549;10468;39428;27134;2.44;2.87;270574;110775;53382;71330;14437;20650;8344;114776;43303;56262;1620;2507;11084;116955;35495;56970;1617;8002;14871;83935;3522;3452;26864;14581;35516;183750;4001;8915;49314;47551;14448;34707;24814;170834;59521;220443;22218;276516;37637;60462;2731;179531;20283;36523;14623
"Muskogee County, Oklahoma";26566;18393;8033;13237;5209;1689;989;3467;1835;8173;7176;3270;9280;8002;2.41;2.89;64139;26566;13330;18083;3331;2829;1318;26234;7047;14340;365;1200;3282;28523;7019;14151;803;2987;3563;16810;1218;1073;7396;3113;4010;45532;1305;4519;16663;8762;4371;6856;3056;39708;9912;51722;4275;65107;10479;16594;839;37728;5205;10785;4435
"Clackamas County, Oregon";158749;112337;44868;91652;34792;7878;3587;12807;6489;46412;35098;18687;49457;52184;2.60;3.02;413039;158749;91765;113341;22324;26860;10277;167066;49901;95727;830;3817;16791;175426;38581;98580;1760;13938;22567;93767;5652;4816;40510;21906;20883;296089;6526;14235;65962;69860;28506;72704;38296;275328;111000;326393;27023;414437;46640;89433;2160;251298;21526;73706;22954
"Deschutes County, Oregon";79950;51474;17873;41408;12523;3917;1768;6149;3582;28476;20745;9571;18997;27870;2.38;2.86;190633;79950;41381;47444;6740;15118;5817;78978;21593;43747;1389;1700;10549;80982;17750;43054;966;7020;12192;37244;2623;1804;17361;8192;7264;140900;3702;6797;24479;38272;17111;32147;18392;130401;50539;152782;14918;191236;23992;39052;1507;113684;11493;38500;10992
"Klamath County, Oregon";26798;16551;6443;12776;4405;1378;552;2397;1486;10247;8232;4298;7196;9896;2.49;3.10;66633;26798;12910;17495;4321;5109;2227;27359;6706;14030;557;1342;4724;28016;7359;13216;394;2451;4596;15617;739;571;7273;3282;3752;46936;1363;4711;14120;12316;4450;6435;3541;40862;9976;52202;6956;66930;14129;14954;921;37459;7951;14517;5257
"Clearfield County, Pennsylvania";31992;20941;7193;15707;4093;2069;1142;3165;1958;11051;9710;4770;7894;11424;2.30;2.83;73702;31992;15824;19859;2738;3289;2094;35201;12002;16487;987;1130;4595;32031;6777;16645;565;3897;4147;14138;1148;1020;6104;3467;2399;59073;2422;4791;28496;7716;6549;5413;3686;51860;9099;64697;5456;73881;13846;14665;1372;43595;6865;15621;5609
"Philadelphia County, Pennsylvania";608233;325909;139802;167375;60053;33689;14980;124845;64769;282324;232565;76821;165441;166453;2.52;3.45;1534956;608233;168059;471348;159491;127825;40407;601075;323526;196919;17243;14098;49289;690499;333826;195364;25404;62711;73194;400437;28708;19142;149785;71739;131063;1083271;55561;97464;358281;175629;61820;191678;142838;930246;334516;1239530;62275;1570425;263450;343569;19091;1017739;158115;209117;86244
"Charleston County, South Carolina";160457;93097;36055;67939;24115;5607;2533;19551;9407;67360;51984;17839;41060;46233;2.45;3.16;393861;160457;67688;106854;26445;32417;10361;161850;66317;73415;2205;4473;15440;176145;63550;73446;4129;13845;21175;91612;4939;3741;36198;18289;28445;290149;4834;16220;66074;46449;24847;83501;48224;269095;131725;322877;31467;398195;41034;79784;1849;253183;19899;65228;19286
"Greenwood County, South Carolina";27962;18700;6792;11323;3471;1330;430;6047;2891;9262;7511;3005;7911;8892;2.44;3.02;68306;27962;11259;22187;4336;2562;995;27075;10497;12611;791;511;2665;31562;10738;11912;1093;3885;3934;16106;974;533;6881;3902;3816;47731;2146;6136;16215;7583;5392;6871;3388;39449;10259;55319;4238;69733;11882;15358;275;41927;6955;12448;4652
"Horry County, South Carolina";131180;81977;24920;61582;13917;6143;3169;14252;7834;49203;40449;18350;28666;53382;2.58;3.23;338243;131180;62492;91232;28729;24610;7598;140147;46144;67895;3521;5336;17251;153065;42177;67475;4701;18877;19835;66803;3917;2154;30281;15277;15174;256082;4288;21031;84378;54594;30608;40519;20664;230763;61183;282208;26097;341930;56774;61592;1975;197710;29178;82628;25621
"Lancaster County, South Carolina";35710;26981;11290;21159;8482;885;522;4937;2286;8729;7272;4181;12440;12793;2.62;3.03;93385;35710;21373;27590;5806;2906;1437;37153;10985;21817;693;1450;2208;39927;8920;21844;480;4271;4412;21318;1358;907;10150;4051;4852;67820;2619;6787;20098;14289;5026;12710;6291;58414;19001;74241;6232;93475;11506;21114;1558;53107;4285;19254;5663
"Pickens County, South Carolina";48185;28804;10557;21421;7216;2716;1641;4667;1700;19381;14898;6471;11889;15329;2.46;3.02;118583;48185;21821;28083;8417;12077;2713;52265;20096;23035;1767;1464;5903;53275;17573;23124;2144;4201;6233;37713;1099;1666;10074;5795;19079;79455;4044;8344;24168;14522;7693;10843;9841;67067;20684;101295;7403;124287;17037;23578;815;80305;8566;20404;7656
"Blount County, Tennessee";51446;38384;14028;29101;9997;2830;1774;6453;2257;13062;11110;4821;15527;18345;2.51;2.92;129363;51446;29384;36493;7653;4387;2745;51879;13821;30009;1251;1690;5108;57772;11300;31836;959;6538;7139;26680;1984;2285;10659;6702;5050;93373;3444;6101;32709;20142;8100;14340;8537;83828;22877;104167;10261;130253;17452;27069;638;76366;8379;26818;8435
"Knox County, Tennessee";185416;115889;47983;89418;33517;5665;3003;20806;11463;69527;53581;19047;52872;51796;2.45;3.04;453973;185416;89539;122209;25203;31606;10610;183913;66251;94018;1773;5005;16866;199749;58085;95079;4330;17022;25233;125236;8190;4959;44661;23122;44304;312635;7220;17521;80609;65990;28002;67736;45557;287894;113293;367297;29648;461345;54741;97517;3368;292285;26895;71543;24478
"Putnam County, Tennessee";33388;21230;7789;15488;5150;1863;251;3879;2388;12158;9107;3093;8443;9701;2.27;2.77;75675;33388;15529;17866;4234;4658;1364;32939;12479;16290;545;674;2951;33246;9750;16537;415;2960;3584;21476;633;255;7217;4310;9061;51639;2884;2315;20615;10098;3094;6481;6152;46440;12633;62684;5395;77910;14830;15973;1319;49126;7710;12811;5801
"Sullivan County, Tennessee";64504;39586;13977;29420;9322;3442;1425;6724;3230;24918;22361;10675;16268;25507;2.40;3.09;154918;64504;29329;43248;10146;7691;3286;63503;17581;31751;1389;2848;9934;68798;14784;32035;1078;8503;12398;31407;1488;1172;14007;7357;7383;114624;4698;7985;38303;24798;10814;18515;9511;101941;28026;126880;12515;155943;33033;30727;1638;90835;16481;34381;14914
"Denton County, Texas";297899;212406;104670;173783;83815;11216;5229;27407;15626;85493;65570;17100;111128;59837;2.85;3.35;848241;297899;173736;272995;52683;50928;15258;333874;110287;189444;3406;4462;26275;350904;102538;184658;5808;20987;36913;242860;15163;13262;94730;50161;69544;567674;17005;19294;100276;125380;41120;178894;85705;531375;264599;647024;44596;855963;68370;211488;8349;558828;34949;85647;25072
"Kaufman County, Texas";39049;30719;15177;22356;10401;1908;1121;6455;3655;8330;6529;2968;17657;9716;3.26;3.65;127173;39049;22443;47522;11352;6807;2350;48058;14213;26140;740;1208;5757;51173;13291;25258;2571;3516;6537;31706;1057;2400;15239;8366;4644;82009;3988;7734;25113;22421;6159;11002;5592;70287;16594;92760;7793;127531;16872;35781;1778;77209;10360;14541;4734
"Potter County, Texas";45550;28561;12669;18100;7330;3286;1646;7175;3693;16989;14775;5293;15490;10428;2.47;3.17;112680;45550;18209;34228;9516;5177;2578;46857;17507;19317;1671;1749;6613;44709;11510;20980;2191;3733;6295;32563;2567;1504;15098;6087;7307;75335;6876;8145;25112;18349;5055;7980;3818;60314;11798;86767;6526;112868;11452;32795;1007;67398;5784;12675;4661
"Randall County, Texas";49457;34152;15528;27665;11744;1320;675;5167;3109;15305;13947;4997;16744;13967;2.71;3.34;133831;49457;27572;43235;9122;4445;1253;53528;16722;30652;936;961;4257;55813;14415;28403;1153;4973;6869;33897;847;1499;15757;7337;8457;89824;2650;4093;19562;23325;8442;23158;8594;83081;31752;103777;9134;135464;13862;32315;676;82701;7504;20448;5682
"Travis County, Texas";486548;281467;138108;211324;99984;22034;11664;48109;26460;205081;147490;29353;148804;88491;2.52;3.18;1224208;486548;211414;323722;77856;124668;35291;514654;222599;233571;6003;7201;45280;506239;180967;227061;10260;26191;61760;316228;23006;12049;124421;58793;97959;863717;49312;43209;138749;140102;44094;279263;168988;771196;448251;977544;51982;1240641;105047;270341;10075;849205;62043;121095;32929
"Davis County, Utah";104462;83092;43575;70230;36476;3062;1281;9800;5818;21370;17345;5302;47771;23748;3.34;3.79;348936;104462;70199;139981;21723;12571;4435;128153;38362;77214;1889;1857;8831;128891;32326;75730;1720;6339;12776;114014;6875;6003;50708;24989;25439;206649;3221;7647;47833;48499;19919;53929;25601;195781;79530;236723;16664;347850;29081;112740;2953;199816;14911;35294;11217
"Arlington County, Virginia";109940;51898;22416;40662;17461;3915;1158;7321;3797;58042;42192;8565;23484;19311;2.13;2.90;233696;109940;40443;48962;9016;25335;7684;100298;45669;45289;1586;1460;6294;99925;40354;43718;1143;5464;9246;48244;4766;2200;17936;7457;15885;173634;5503;2470;14967;12772;5686;61596;70640;165661;132236;190261;10884;232109;14628;43002;1148;164777;6638;24330;6842
"Fauquier County, Virginia";25134;18279;7140;14260;4897;1526;757;2493;1486;6855;5500;2631;8073;8176;2.80;3.22;70309;25134;14219;21311;4976;4669;1609;28020;9237;15094;860;491;2338;29215;6412;15278;930;2481;4114;17287;1754;245;7311;4675;3302;49173;1070;2152;12106;9873;4746;12133;7093;45951;19226;54067;5730;70392;5961;16608;505;42056;1701;11728;3755
"Grays Harbor County, Washington";27674;17388;5922;12672;3298;1645;1047;3071;1577;10286;8749;3591;6541;10842;2.56;3.21;70780;27674;12773;19860;5751;4722;2287;31830;10649;14935;534;1285;4427;30761;8412;13317;732;3146;5154;15294;1048;683;6497;4798;2268;53250;1885;4681;17367;15511;6298;5059;2449;46684;7508;58578;6513;70718;15042;15076;517;39695;8577;15947;5948
"Manitowoc County, Wisconsin";35259;21201;8142;16991;5826;1539;725;2671;1591;14058;10928;4827;9088;11313;2.21;2.75;78052;35259;16913;18052;2062;5766;3511;32914;9586;17848;275;1168;4037;33034;7408;17376;402;3913;3935;15807;868;1027;7575;3524;2813;57498;1806;3289;21461;12054;6327;9192;3369;52403;12561;62927;6407;78636;9844;16065;992;46973;4535;15598;4317
"Winnebago County, Wisconsin";71332;41338;16791;31541;10868;3172;1791;6625;4132;29994;23888;9228;18380;19870;2.29;2.92;163188;71332;31407;42743;5370;12336;5726;71758;28586;32553;881;1064;8674;70410;21920;32714;410;6638;8728;40864;1796;1981;15432;7792;13863;115949;3137;6017;37774;25512;14332;21212;7965;106795;29177;136120;11385;166379;20100;34838;1833;104221;9978;27320;8289
"Carolina Municipio, Puerto Rico";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"San Juan Municipio, Puerto Rico";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"Trujillo Alto Municipio, Puerto Rico";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"Arecibo Municipio, Puerto Rico";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
